id_turista;procedencia;fec_salida;fec_llegada;gasto
5100501;America;21/12/18;13/12/18;920
5100502;Asia;21/12/18;12/12/18;1797
5100503;America;25/01/18;13/01/18;2172
5100504;Asia;26/01/18;13/01/18;1762
5100505;Europa;10/09/18;31/08/18;1070
5100506;Asia;01/06/18;23/05/18;1248
5100507;Europa;05/11/18;29/10/18;1386
5100508;Europa;19/05/18;11/05/18;1416
5100509;Oceania;06/12/18;26/11/18;1240
5100510;Europa;22/06/18;15/06/18;644
5100511;America;15/11/18;08/11/18;1988
5100512;Asia;28/07/18;23/07/18;570
5100513;Europa;08/06/18;05/06/18;648
5100514;Europa;15/02/18;09/02/18;600
5100515;Europa;28/09/18;22/09/18;372
5100516;Europa;06/05/18;04/05/18;456
5100517;Oceania;13/06/18;31/05/18;2964
5100518;America;06/03/18;27/02/18;1428
5100519;Europa;27/01/18;22/01/18;1140
5100520;America;24/02/18;15/02/18;1062
5100521;Europa;28/07/18;26/07/18;320
5100522;Asia;12/07/18;01/07/18;3186
5100523;Europa;11/03/18;06/03/18;1125
5100524;America;08/03/18;01/03/18;1491
5100525;Europa;15/01/18;11/01/18;628
5100526;Asia;05/11/18;24/10/18;1554
5100527;Europa;26/05/18;21/05/18;1205
5100528;Europa;13/08/18;07/08/18;1404
5100529;Europa;25/08/18;19/08/18;1614
5100530;Europa;04/10/18;01/10/18;168
5100531;Asia;29/08/18;24/08/18;1465
5100532;Europa;19/05/18;13/05/18;1368
5100533;Europa;26/03/18;19/03/18;1316
5100534;Europa;06/03/18;04/03/18;422
5100535;Asia;04/02/18;25/01/18;850
5100536;Asia;09/03/18;27/02/18;1130
5100537;Europa;19/08/18;14/08/18;1110
5100538;Europa;31/10/18;29/10/18;202
5100539;America;23/02/18;16/02/18;959
5100540;Asia;29/06/18;19/06/18;2920
5100541;Europa;05/12/18;29/11/18;1212
5100542;Asia;06/06/18;31/05/18;1560
5100543;America;26/10/18;20/10/18;576
5100544;Europa;16/09/18;07/09/18;1116
5100545;America;24/02/18;14/02/18;1660
5100546;Europa;05/04/18;01/04/18;280
5100547;Europa;03/09/18;29/08/18;875
5100548;Asia;08/08/18;30/07/18;1941
5100549;America;09/07/18;28/06/18;1793
5100550;Asia;20/04/18;12/04/18;2462
5100551;Europa;13/10/18;08/10/18;465
5100552;Asia;09/04/18;27/03/18;1242
5100553;Europa;23/07/18;16/07/18;1547
5100554;America;08/10/18;28/09/18;1840
5100555;America;24/08/18;11/08/18;1235
5100556;Asia;22/12/18;14/12/18;854
5100557;Asia;24/01/18;14/01/18;2420
5100558;Europa;20/01/18;14/01/18;1710
5100559;Asia;16/07/18;06/07/18;1420
5100560;America;23/07/18;13/07/18;2000
5100561;America;19/10/18;11/10/18;1960
5100562;Europa;16/03/18;08/03/18;1304
5100563;Europa;29/05/18;21/05/18;1008
5100564;Asia;23/04/18;13/04/18;2540
5100565;Europa;06/06/18;29/05/18;2384
5100566;Europa;20/10/18;14/10/18;600
5100567;Oceania;24/10/18;17/10/18;896
5100568;Europa;20/10/18;14/10/18;1734
5100569;Europa;13/12/18;06/12/18;1197
5100570;Asia;10/07/18;03/07/18;2075
5100571;Asia;06/06/18;31/05/18;786
5100572;America;10/10/18;27/09/18;1794
5100573;Europa;14/04/18;11/04/18;555
5100574;America;16/01/18;06/01/18;2810
5100575;Europa;29/03/18;25/03/18;256
5100576;Europa;05/09/18;29/08/18;1771
5100577;America;30/11/18;17/11/18;1807
5100578;Asia;02/10/18;25/09/18;2152
5100579;Europa;27/08/18;18/08/18;1917
5100580;Europa;21/03/18;16/03/18;1125
5100581;Europa;12/04/18;02/04/18;2250
5100582;Asia;11/11/18;31/10/18;1283
5100583;Asia;24/12/18;13/12/18;2460
5100584;Asia;28/02/18;21/02/18;1466
5100585;Oceania;27/07/18;21/07/18;600
5100586;Asia;16/12/18;08/12/18;1126
5100587;America;06/10/18;28/09/18;432
5100588;Europa;05/01/18;02/01/18;582
5100589;Oceania;01/06/18;19/05/18;3328
5100590;America;25/09/18;16/09/18;1206
5100591;Oceania;25/12/18;16/12/18;1359
5100592;Oceania;06/09/18;01/09/18;260
5100593;America;23/08/18;10/08/18;949
5100594;Europa;30/12/18;22/12/18;1792
5100595;America;05/10/18;29/09/18;846
5100596;Asia;27/01/18;15/01/18;3270
5100597;Oceania;23/08/18;17/08/18;318
5100598;Asia;25/03/18;15/03/18;2270
5100599;America;09/11/18;31/10/18;549
5100600;America;24/01/18;17/01/18;2051
5100601;America;12/06/18;07/06/18;785
5100602;Asia;27/02/18;21/02/18;1200
5100603;Asia;11/01/18;05/01/18;456
5100604;Oceania;31/01/18;24/01/18;714
5100605;Asia;24/06/18;12/06/18;1806
5100606;America;27/06/18;21/06/18;1530
5100607;Asia;08/11/18;30/10/18;2265
5100608;Europa;10/08/18;04/08/18;996
5100609;Oceania;11/05/18;03/05/18;592
5100610;Asia;18/06/18;12/06/18;534
5100611;Europa;31/05/18;22/05/18;711
5100612;Oceania;19/04/18;06/04/18;2171
5100613;America;14/09/18;05/09/18;2205
5100614;Asia;15/04/18;05/04/18;2670
5100615;America;11/04/18;04/04/18;2086
5100616;Oceania;26/11/18;18/11/18;1160
5100617;Asia;25/05/18;12/05/18;2828
5100618;Europa;20/06/18;16/06/18;708
5100619;Asia;12/06/18;05/06/18;591
5100620;Europa;05/05/18;02/05/18;273
5100621;America;02/07/18;25/06/18;1414
5100622;Europa;04/07/18;26/06/18;1392
5100623;Asia;30/05/18;20/05/18;3120
5100624;Europa;12/02/18;02/02/18;1680
5100625;Europa;10/04/18;07/04/18;387
5100626;America;23/06/18;18/06/18;675
5100627;Asia;02/02/18;22/01/18;2933
5100628;Asia;07/08/18;30/07/18;1502
5100629;Asia;16/07/18;07/07/18;2436
5100630;Europa;16/10/18;14/10/18;312
5100631;Asia;08/01/18;27/12/17;2658
5100632;Oceania;13/04/18;03/04/18;1790
5100633;Europa;02/11/18;23/10/18;2790
5100634;America;16/10/18;04/10/18;984
5100635;America;17/06/18;08/06/18;1674
5100636;America;23/02/18;12/02/18;1287
5100637;Europa;29/06/18;26/06/18;234
5100638;Asia;04/02/18;25/01/18;2040
5100639;Oceania;03/02/18;22/01/18;1764
5100640;Asia;12/08/18;04/08/18;1926
5100641;Asia;09/04/18;02/04/18;829
5100642;Europa;12/01/18;03/01/18;711
5100643;Europa;25/08/18;18/08/18;2079
5100644;Asia;20/12/18;11/12/18;1986
5100645;Asia;22/01/18;14/01/18;1566
5100646;Asia;04/05/18;25/04/18;2544
5100647;Asia;31/07/18;20/07/18;2955
5100648;Europa;22/08/18;18/08/18;856
5100649;Asia;05/04/18;29/03/18;570
5100650;Oceania;12/09/18;07/09/18;1440
5100651;Europa;09/05/18;06/05/18;843
5100652;America;22/11/18;16/11/18;480
5100653;Europa;08/07/18;02/07/18;1470
5100654;Asia;28/01/18;21/01/18;1914
5100655;Asia;24/08/18;16/08/18;1102
5100656;Oceania;10/12/18;01/12/18;864
5100657;Asia;18/02/18;12/02/18;822
5100658;Oceania;12/09/18;03/09/18;990
5100659;Europa;11/09/18;01/09/18;1790
5100660;America;19/12/18;12/12/18;588
5100661;Europa;19/08/18;14/08/18;345
